Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-March-2022,1792.00,1836.75,1790.55,1831.35,1814.876292182827851345,58525,3550,106215635.00,16538,28.26,46.20,39.35
21-March-2022,1842.00,1842.00,1797.00,1803.00,1812.920095630229778190,37645,2159,68247377.00,7416,19.70,45.00,-39.00
17-March-2022,1771.00,1823.00,1759.30,1818.55,1792.932130434092028145,62959,3515,112881214.00,12386,19.67,63.70,47.55
16-March-2022,1718.10,1763.80,1718.10,1757.45,1749.500500586401212849,69918,4560,122321576.00,26476,37.87,45.70,39.35
15-March-2022,1730.20,1753.40,1688.70,1702.45,1715.719890684410646387,42080,2477,72197493.00,4319,10.26,64.70,-27.75
14-March-2022,1735.95,1752.00,1722.65,1735.95,1734.665924352473619295,29188,1758,50631429.00,3956,13.55,29.35,0.00
11-March-2022,1749.95,1756.55,1722.00,1733.60,1738.231364695461285166,51931,3179,90268093.00,5844,11.25,34.55,-16.35
10-March-2022,1689.00,1749.95,1679.75,1742.45,1717.882707017814056163,77916,5155,133850549.00,12121,15.56,70.20,53.45
9-March-2022,1605.10,1669.00,1605.10,1656.45,1634.882707292901420493,51461,4235,84132699.00,4798,9.32,63.90,51.35
8-March-2022,1571.50,1606.70,1553.40,1600.75,1584.728346122504413961,117808,7554,186693677.00,22024,18.69,53.30,29.25
7-March-2022,1577.00,1591.40,1539.80,1564.75,1564.308730404805322430,190289,12956,297670744.00,34141,17.94,51.60,-12.25
4-March-2022,1625.00,1654.40,1601.30,1615.90,1626.037803927045869851,85917,4897,139704290.00,15952,18.57,53.10,-9.10
3-March-2022,1665.00,1677.85,1635.60,1644.35,1659.267396356846308178,100682,3796,167058360.00,60192,59.78,42.25,-20.65
2-March-2022,1644.00,1663.95,1620.00,1640.85,1646.784227013082734475,43416,2523,71496784.00,4789,11.03,43.95,-3.15
28-February-2022,1609.95,1650.60,1594.50,1643.25,1622.310581848430454008,68523,4887,111165588.00,7057,10.30,56.10,33.30
25-February-2022,1600.00,1638.30,1585.30,1618.00,1618.124210976783994864,93470,7910,151246070.00,13509,14.45,53.00,18.00
24-February-2022,1645.55,1647.70,1529.55,1547.05,1598.541953324827699877,163813,11792,261861953.00,19709,12.03,118.15,-98.50
23-February-2022,1672.55,1716.35,1672.55,1687.65,1695.619820918048964546,68907,3797,116840075.00,12304,17.86,43.80,15.10
22-February-2022,1648.90,1678.50,1630.55,1668.30,1655.606522397511081743,72642,4836,120266569.00,7992,11.00,47.95,19.40
21-February-2022,1735.70,1736.15,1674.70,1684.35,1701.629385426309723980,52931,3987,90068945.00,5357,10.12,61.45,-51.35
18-February-2022,1736.00,1754.00,1725.90,1735.70,1742.748156664750431152,40009,2750,69725611.00,4092,10.23,28.10,-0.30
17-February-2022,1754.80,1762.00,1724.05,1730.55,1749.063278286524387907,52198,3332,91297605.00,6612,12.67,37.95,-24.25
16-February-2022,1750.00,1776.05,1729.05,1737.95,1754.607275060460984156,81044,4878,142200392.00,9296,11.47,47.00,-12.05
15-February-2022,1641.00,1751.40,1628.25,1743.45,1683.113012214915258621,154647,9609,260288378.00,16662,10.77,123.15,102.45
14-February-2022,1732.00,1739.40,1654.05,1663.50,1703.013912137464557783,117092,8826,199409305.00,19633,16.77,85.35,-68.50
11-February-2022,1770.00,1775.10,1743.70,1763.05,1760.887049487490356001,45365,3255,79882641.00,5081,11.20,31.40,-6.95
10-February-2022,1792.00,1808.85,1765.10,1784.05,1788.167960304419268355,92504,6712,165412689.00,22323,24.13,43.75,-7.95
9-February-2022,1718.00,1791.00,1718.00,1783.50,1762.080032093069902717,69797,5441,122987900.00,13202,18.91,73.00,65.50
8-February-2022,1741.00,1746.00,1678.20,1714.25,1715.715640996866448555,115843,7036,198753647.00,11905,10.28,67.80,-26.75
7-February-2022,1762.00,1764.90,1722.25,1731.75,1747.422063573006969233,47064,3812,82240672.00,6255,13.29,42.65,-30.25
4-February-2022,1764.00,1770.45,1734.00,1756.65,1755.537973158981417756,58120,4773,102031867.00,11698,20.13,36.45,-7.35
3-February-2022,1780.00,1786.55,1746.60,1753.25,1770.106143947728106143,29997,2252,53097874.00,3570,11.90,39.95,-26.75
2-February-2022,1752.00,1785.75,1747.00,1774.85,1771.621606128511126166,287835,5814,509934705.00,186433,64.77,38.75,22.85
1-February-2022,1734.90,1764.95,1699.30,1747.65,1731.697667467307179076,93675,7403,162216779.00,19706,21.04,65.65,12.75
